"SenKey","AddDt","CRRMngKey","SSO","FSR","LIG","HAL","VIB"
"374193","2021-06-21 16:37:36","H001236001","25.7","113","63","0","0"
"374191","2021-06-21 16:37:36","H001236001","25.81","149","99","1","0"
"374189","2021-06-21 16:37:35","H001236001","25.7","141","93","1","0"
"374187","2021-06-21 16:37:35","H001236001","25.82","153","104","1","0"
"374185","2021-06-21 16:37:34","H001236001","25.7","156","110","1","0"
"374183","2021-06-21 16:37:33","H001236001","25.81","141","90","1","0"
"374181","2021-06-21 16:37:33","H001236001","25.7","138","88","1","0"
"374179","2021-06-21 16:37:32","H001236001","25.81","136","87","1","0"
"374177","2021-06-21 16:37:32","H001236001","25.81","143","93","1","0"
"374175","2021-06-21 16:37:31","H001236001","25.7","145","99","1","0"
"374173","2021-06-21 16:37:30","H001236001","25.82","153","109","1","0"
"374171","2021-06-21 16:37:30","H001236001","25.7","163","122","1","0"
"374169","2021-06-21 16:37:29","H001236001","25.82","169","130","1","0"
"374167","2021-06-21 16:37:29","H001236001","25.7","174","135","1","0"
"374165","2021-06-21 16:37:28","H001236001","25.81","140","103","1","0"
"374163","2021-06-21 16:37:27","H001236001","25.7","139","97","0","0"
"374161","2021-06-21 16:37:27","H001236001","25.81","137","97","0","0"
"374159","2021-06-21 16:37:26","H001236001","25.7","136","97","0","0"
"374157","2021-06-21 16:37:26","H001236001","25.81","135","101","0","0"
"374155","2021-06-21 16:37:25","H001236001","25.7","131","130","1","8159"
"374153","2021-06-21 16:37:24","H001236001","25.7","134","117","1","745"
"374151","2021-06-21 16:37:24","H001236001","25.82","133","87","1","0"
"374149","2021-06-21 16:37:23","H001236001","25.81","132","87","0","0"
"374147","2021-06-21 16:37:23","H001236001","25.7","133","90","0","0"
"374145","2021-06-21 16:37:22","H001236001","25.81","131","98","0","0"
"374143","2021-06-21 16:37:22","H001236001","25.7","128","161","1","0"
"374141","2021-06-21 16:37:21","H001236001","25.81","132","83","0","0"
"374139","2021-06-21 16:37:20","H001236001","25.7","132","81","0","0"
"374137","2021-06-21 16:37:20","H001236001","25.82","172","122","0","0"
"374135","2021-06-21 16:37:19","H001236001","25.7","170","121","0","0"
"374133","2021-06-21 16:37:19","H001236001","25.82","169","121","0","0"
"374131","2021-06-21 16:37:18","H001236001","25.7","179","132","0","0"
"374129","2021-06-21 16:37:17","H001236001","25.82","173","125","0","0"
"374127","2021-06-21 16:37:17","H001236001","25.7","180","136","0","0"
"374125","2021-06-21 16:37:16","H001236001","25.81","168","126","0","0"
"374123","2021-06-21 16:37:16","H001236001","25.7","187","155","0","0"
"374121","2021-06-21 16:37:15","H001236001","25.81","171","145","0","0"
"374119","2021-06-21 16:37:14","H001236001","25.82","163","284","1","0"
"374117","2021-06-21 16:37:14","H001236001","25.7","172","142","0","0"
"374115","2021-06-21 16:37:13","H001236001","25.81","168","184","0","0"
"374113","2021-06-21 16:37:13","H001236001","25.7","164","575","1","0"
"374111","2021-06-21 16:37:12","H001236001","25.81","167","636","1","1035"
"374109","2021-06-21 16:37:11","H001236001","25.7","167","638","1","0"
"374107","2021-06-21 16:37:11","H001236001","25.81","170","638","1","0"
"374105","2021-06-21 16:37:10","H001236001","25.7","175","651","1","0"
"374103","2021-06-21 16:37:10","H001236001","25.82","168","653","1","0"
"374101","2021-06-21 16:37:09","H001236001","25.7","166","653","1","0"
"374099","2021-06-21 16:37:08","H001236001","25.81","165","644","1","0"
"374097","2021-06-21 16:37:08","H001236001","25.77","165","648","1","0"
"374095","2021-06-21 16:37:07","H001236001","25.7","166","648","1","0"
"374093","2021-06-21 16:37:07","H001236001","25.82","165","644","1","0"
"374091","2021-06-21 16:37:06","H001236001","25.7","165","633","1","0"
"374089","2021-06-21 16:37:05","H001236001","25.81","164","625","1","0"
"374087","2021-06-21 16:37:05","H001236001","25.7","163","616","1","0"
"374085","2021-06-21 16:37:04","H001236001","25.81","164","610","1","0"
"374083","2021-06-21 16:37:04","H001236001","25.7","163","611","1","0"
"374081","2021-06-21 16:37:03","H001236001","25.82","163","619","1","0"
"374079","2021-06-21 16:37:02","H001236001","25.7","162","621","1","0"
"374077","2021-06-21 16:37:02","H001236001","25.81","163","623","1","0"
"374075","2021-06-21 16:37:01","H001236001","25.7","160","621","1","0"
"374073","2021-06-21 16:37:01","H001236001","25.81","157","621","0","0"
"374071","2021-06-21 16:37:00","H001236001","25.72","170","640","1","0"
"374069","2021-06-21 16:36:59","H001236001","25.81","167","647","0","0"
"374067","2021-06-21 16:36:59","H001236001","25.7","170","651","0","0"
"374065","2021-06-21 16:36:58","H001236001","25.81","170","642","0","0"
"374063","2021-06-21 16:36:58","H001236001","25.72","167","648","0","0"
"374061","2021-06-21 16:36:57","H001236001","25.82","168","650","0","0"
"374059","2021-06-21 16:36:56","H001236001","25.7","168","645","1","0"
"374057","2021-06-21 16:36:56","H001236001","25.81","164","634","1","0"
"374055","2021-06-21 16:36:55","H001236001","25.7","169","624","1","0"
"374053","2021-06-21 16:36:55","H001236001","25.81","167","627","1","0"
"374051","2021-06-21 16:36:54","H001236001","25.7","165","627","1","0"
"374049","2021-06-21 16:36:53","H001236001","25.81","168","625","1","0"
"374047","2021-06-21 16:36:53","H001236001","25.7","174","620","1","0"
"374045","2021-06-21 16:36:52","H001236001","25.81","170","608","1","0"
"374043","2021-06-21 16:36:52","H001236001","25.82","171","616","1","0"
"374041","2021-06-21 16:36:51","H001236001","25.7","169","630","1","0"
"374039","2021-06-21 16:36:50","H001236001","25.82","173","635","1","0"
"374037","2021-06-21 16:36:50","H001236001","25.72","177","642","1","0"
"374035","2021-06-21 16:36:49","H001236001","25.81","178","637","1","0"
"374033","2021-06-21 16:36:49","H001236001","25.7","173","639","1","0"
"374031","2021-06-21 16:36:48","H001236001","25.81","169","644","1","0"
"374029","2021-06-21 16:36:47","H001236001","25.7","173","651","1","0"
"374027","2021-06-21 16:36:47","H001236001","25.81","165","646","1","0"
"374025","2021-06-21 16:36:46","H001236001","25.7","162","638","1","0"
"374023","2021-06-21 16:36:46","H001236001","25.81","160","630","1","0"
"374021","2021-06-21 16:36:45","H001236001","25.7","158","616","1","0"
"374019","2021-06-21 16:36:44","H001236001","25.82","158","619","1","0"
"374017","2021-06-21 16:36:44","H001236001","25.7","161","619","1","0"
"374015","2021-06-21 16:36:43","H001236001","25.81","157","616","1","0"
