"SenKey","AddDt","CRRMngKey","SSO","FSR","LIG","HAL","VIB"
"400162","2021-07-16 17:11:17","H001238001","25.57","163","117","1","0"
"400160","2021-07-16 17:11:17","H001238001","25.67","162","117","1","0"
"400158","2021-07-16 17:11:16","H001238001","25.57","162","117","1","0"
"400156","2021-07-16 17:11:16","H001238001","25.67","163","116","0","0"
"400154","2021-07-16 17:11:15","H001238001","25.57","163","116","0","0"
"400152","2021-07-16 17:11:14","H001238001","25.67","163","116","0","0"
"400150","2021-07-16 17:11:14","H001238001","25.57","164","117","0","0"
"400148","2021-07-16 17:11:13","H001238001","25.67","163","118","0","0"
"400146","2021-07-16 17:11:13","H001238001","25.57","163","117","0","0"
"400144","2021-07-16 17:11:12","H001238001","25.67","163","118","0","0"
"400142","2021-07-16 17:11:11","H001238001","25.57","163","117","0","0"
"400140","2021-07-16 17:11:11","H001238001","25.67","162","116","0","0"
"400138","2021-07-16 17:11:10","H001238001","25.57","162","118","0","0"
"400136","2021-07-16 17:11:10","H001238001","25.67","165","116","1","0"
"400134","2021-07-16 17:11:09","H001238001","25.57","161","117","1","0"
"400132","2021-07-16 17:11:08","H001238001","25.67","162","117","1","0"
"400130","2021-07-16 17:11:08","H001238001","25.67","163","118","1","0"
"400128","2021-07-16 17:11:07","H001238001","25.57","162","118","1","0"
"400126","2021-07-16 17:11:07","H001238001","25.67","163","116","1","0"
"400124","2021-07-16 17:11:06","H001238001","25.57","161","116","1","0"
"400122","2021-07-16 17:11:05","H001238001","25.67","163","117","1","0"
"400120","2021-07-16 17:11:05","H001238001","25.57","163","115","1","0"
"400118","2021-07-16 17:11:04","H001238001","25.67","163","116","1","0"
"400116","2021-07-16 17:11:04","H001238001","25.57","162","116","1","0"
"400114","2021-07-16 17:11:03","H001238001","25.67","162","116","1","0"
"400112","2021-07-16 17:11:02","H001238001","25.57","163","116","0","0"
"400110","2021-07-16 17:11:02","H001238001","25.67","162","116","0","0"
"400108","2021-07-16 17:11:01","H001238001","25.57","163","116","0","0"
"400106","2021-07-16 17:11:01","H001238001","25.69","163","115","0","0"
"400104","2021-07-16 17:11:00","H001238001","25.57","163","115","0","0"
"400102","2021-07-16 17:10:59","H001238001","25.67","164","117","0","0"
"400100","2021-07-16 17:10:59","H001238001","25.62","162","118","0","0"
"400098","2021-07-16 17:10:58","H001238001","25.6","163","116","0","0"
"400096","2021-07-16 17:10:58","H001238001","25.67","162","116","0","0"
"400094","2021-07-16 17:10:57","H001238001","25.57","163","116","0","0"
"400092","2021-07-16 17:10:56","H001238001","25.67","162","115","0","0"
"400090","2021-07-16 17:10:56","H001238001","25.57","162","117","1","0"
"400088","2021-07-16 17:10:55","H001238001","25.67","162","117","1","0"
"400086","2021-07-16 17:10:55","H001238001","25.57","163","116","1","0"
"400084","2021-07-16 17:10:54","H001238001","25.67","164","117","1","0"
"400082","2021-07-16 17:10:53","H001238001","25.57","164","117","1","0"
"400080","2021-07-16 17:10:53","H001238001","25.67","163","117","1","0"
"400078","2021-07-16 17:10:52","H001238001","25.57","163","117","1","0"
"400076","2021-07-16 17:10:52","H001238001","25.67","162","117","1","0"
"400074","2021-07-16 17:10:51","H001238001","25.57","162","117","1","0"
"400072","2021-07-16 17:10:50","H001238001","25.67","163","118","1","0"
"400070","2021-07-16 17:10:50","H001238001","25.57","163","117","1","0"
"400068","2021-07-16 17:10:49","H001238001","25.67","163","117","1","0"
"400066","2021-07-16 17:10:49","H001238001","25.67","164","116","0","0"
"400064","2021-07-16 17:10:48","H001238001","25.57","163","116","0","0"
"400062","2021-07-16 17:10:47","H001238001","25.67","162","117","0","0"
"400060","2021-07-16 17:10:47","H001238001","25.57","162","117","0","0"
"400058","2021-07-16 17:10:46","H001238001","25.69","163","117","0","0"
"400056","2021-07-16 17:10:46","H001238001","25.57","162","116","0","0"
"400054","2021-07-16 17:10:45","H001238001","25.67","163","117","0","0"
"400052","2021-07-16 17:10:44","H001238001","25.57","163","117","0","0"
"400050","2021-07-16 17:10:44","H001238001","25.67","163","116","0","0"
"400048","2021-07-16 17:10:43","H001238001","25.57","163","116","0","0"
"400046","2021-07-16 17:10:43","H001238001","25.67","163","117","0","0"
"400044","2021-07-16 17:10:42","H001238001","25.57","162","117","0","0"
"400042","2021-07-16 17:10:41","H001238001","25.67","163","119","1","0"
"400040","2021-07-16 17:10:41","H001238001","25.57","162","117","1","0"
"400038","2021-07-16 17:10:40","H001238001","25.67","163","116","1","0"
"400036","2021-07-16 17:10:40","H001238001","25.67","164","116","1","0"
"400034","2021-07-16 17:10:39","H001238001","25.57","163","116","1","0"
"400032","2021-07-16 17:10:38","H001238001","25.69","163","116","1","0"
"400030","2021-07-16 17:10:38","H001238001","25.57","163","117","1","0"
"400028","2021-07-16 17:10:37","H001238001","25.67","163","117","1","0"
"400026","2021-07-16 17:10:37","H001238001","25.57","162","117","1","0"
"400024","2021-07-16 17:10:36","H001238001","25.67","163","117","1","0"
"400022","2021-07-16 17:10:35","H001238001","25.57","164","117","1","0"
"400020","2021-07-16 17:10:35","H001238001","25.67","164","117","1","0"
"400018","2021-07-16 17:10:34","H001238001","25.57","162","118","1","0"
"400016","2021-07-16 17:10:34","H001238001","25.69","163","117","0","0"
"400014","2021-07-16 17:10:33","H001238001","25.57","163","117","0","0"
"400012","2021-07-16 17:10:32","H001238001","25.67","162","117","0","0"
"400010","2021-07-16 17:10:32","H001238001","25.57","162","117","0","0"
"400008","2021-07-16 17:10:31","H001238001","25.67","162","116","0","0"
"400006","2021-07-16 17:10:31","H001238001","25.67","163","117","0","0"
"400004","2021-07-16 17:10:30","H001238001","25.67","165","116","0","0"
"400002","2021-07-16 17:10:29","H001238001","25.69","163","117","0","0"
"400000","2021-07-16 17:10:29","H001238001","25.57","162","119","0","0"
"399998","2021-07-16 17:10:28","H001238001","25.69","162","118","0","0"
"399996","2021-07-16 17:10:28","H001238001","25.57","164","117","0","0"
"399994","2021-07-16 17:10:27","H001238001","25.67","163","116","1","0"
"399992","2021-07-16 17:10:26","H001238001","25.57","162","117","1","0"
"399990","2021-07-16 17:10:26","H001238001","25.67","163","116","1","0"
"399988","2021-07-16 17:10:25","H001238001","25.57","164","117","1","0"
"399986","2021-07-16 17:10:25","H001238001","25.69","162","117","1","0"
"399984","2021-07-16 17:10:24","H001238001","25.57","162","117","1","0"
"399982","2021-07-16 17:10:23","H001238001","25.67","163","117","1","0"
"399980","2021-07-16 17:10:23","H001238001","25.57","162","117","1","0"
"399978","2021-07-16 17:10:22","H001238001","25.67","163","118","1","0"
"399976","2021-07-16 17:10:22","H001238001","25.57","163","117","1","0"
"399974","2021-07-16 17:10:21","H001238001","25.69","163","117","1","0"
"399972","2021-07-16 17:10:20","H001238001","25.69","161","119","1","0"
"399970","2021-07-16 17:10:20","H001238001","25.57","163","115","1","0"
"399968","2021-07-16 17:10:19","H001238001","25.67","160","117","1","0"
"399966","2021-07-16 17:10:19","H001238001","25.57","163","117","1","0"
"399964","2021-07-16 17:10:18","H001238001","25.69","163","118","0","0"
"399962","2021-07-16 17:10:17","H001238001","25.57","162","117","0","0"
"399960","2021-07-16 17:10:17","H001238001","25.67","164","117","0","0"
"399958","2021-07-16 17:10:16","H001238001","25.57","164","117","0","0"
"399956","2021-07-16 17:10:16","H001238001","25.67","163","117","0","0"
"399954","2021-07-16 17:10:15","H001238001","25.57","163","116","0","0"
"399952","2021-07-16 17:10:14","H001238001","25.67","162","116","0","0"
"399950","2021-07-16 17:10:14","H001238001","25.57","163","117","0","0"
"399948","2021-07-16 17:10:13","H001238001","25.67","163","117","0","0"
"399946","2021-07-16 17:10:13","H001238001","25.57","163","117","0","0"
"399944","2021-07-16 17:10:12","H001238001","25.67","163","116","0","0"
"399942","2021-07-16 17:10:11","H001238001","25.67","162","118","0","0"
"399940","2021-07-16 17:10:11","H001238001","25.57","163","118","0","0"
"399938","2021-07-16 17:10:10","H001238001","25.67","163","117","0","0"
"399936","2021-07-16 17:10:10","H001238001","25.57","163","116","1","0"
"399934","2021-07-16 17:10:09","H001238001","25.67","163","117","1","0"
"399932","2021-07-16 17:10:08","H001238001","25.57","162","117","1","0"
"399930","2021-07-16 17:10:08","H001238001","25.67","163","117","1","0"
"399928","2021-07-16 17:10:07","H001238001","25.55","161","118","1","0"
"399926","2021-07-16 17:10:07","H001238001","25.67","163","115","1","0"
"399924","2021-07-16 17:10:06","H001238001","25.57","162","117","1","0"
"399922","2021-07-16 17:10:05","H001238001","25.67","163","117","1","0"
"399920","2021-07-16 17:10:05","H001238001","25.57","162","117","1","0"
"399918","2021-07-16 17:10:04","H001238001","25.67","164","117","1","0"
"399916","2021-07-16 17:10:04","H001238001","25.57","163","116","1","0"
"399914","2021-07-16 17:10:03","H001238001","25.67","161","118","1","0"
"399912","2021-07-16 17:10:02","H001238001","25.6","162","117","0","0"
"399910","2021-07-16 17:10:02","H001238001","25.57","162","116","0","0"
"399908","2021-07-16 17:10:01","H001238001","25.67","162","119","0","0"
"399906","2021-07-16 17:10:01","H001238001","25.57","163","117","0","0"
"399904","2021-07-16 17:10:00","H001238001","25.67","163","116","0","0"
"399902","2021-07-16 17:09:59","H001238001","25.57","163","117","0","0"
"399900","2021-07-16 17:09:59","H001238001","25.67","164","116","0","0"
"399898","2021-07-16 17:09:58","H001238001","25.57","162","116","0","0"
"399896","2021-07-16 17:09:58","H001238001","25.67","163","117","0","0"
"399894","2021-07-16 17:09:57","H001238001","25.57","162","117","0","0"
"399892","2021-07-16 17:09:56","H001238001","25.67","162","115","1","0"
"399890","2021-07-16 17:09:56","H001238001","25.57","164","117","1","0"
"399888","2021-07-16 17:09:55","H001238001","25.67","163","116","1","0"
"399886","2021-07-16 17:09:55","H001238001","25.57","161","118","1","0"
"399884","2021-07-16 17:09:54","H001238001","25.67","163","117","1","0"
"399882","2021-07-16 17:09:53","H001238001","25.67","163","117","1","0"
"399880","2021-07-16 17:09:53","H001238001","25.57","163","117","1","0"
"399878","2021-07-16 17:09:52","H001238001","25.67","161","116","1","0"
"399876","2021-07-16 17:09:52","H001238001","25.57","163","117","1","0"
"399874","2021-07-16 17:09:51","H001238001","25.67","164","117","1","0"
"399872","2021-07-16 17:09:50","H001238001","25.57","164","117","1","0"
"399870","2021-07-16 17:09:50","H001238001","25.69","164","116","0","0"
"399868","2021-07-16 17:09:49","H001238001","25.57","164","117","0","0"
"399866","2021-07-16 17:09:49","H001238001","25.67","164","117","0","0"
"399864","2021-07-16 17:09:48","H001238001","25.57","164","117","0","0"
"399862","2021-07-16 17:09:47","H001238001","25.67","164","118","0","0"
"399860","2021-07-16 17:09:47","H001238001","25.55","164","118","0","0"
"399858","2021-07-16 17:09:46","H001238001","25.67","164","117","0","0"
"399856","2021-07-16 17:09:46","H001238001","25.57","164","118","0","0"
"399854","2021-07-16 17:09:45","H001238001","25.67","163","117","0","0"
"399852","2021-07-16 17:09:44","H001238001","25.67","164","118","1","0"
"399850","2021-07-16 17:09:44","H001238001","25.57","163","118","1","0"
"399848","2021-07-16 17:09:43","H001238001","25.67","164","118","1","0"
"399846","2021-07-16 17:09:43","H001238001","25.57","164","117","1","0"
"399844","2021-07-16 17:09:42","H001238001","25.67","163","118","1","0"
"399842","2021-07-16 17:09:42","H001238001","25.57","163","118","1","0"
"399840","2021-07-16 17:09:41","H001238001","25.69","163","118","1","0"
"399838","2021-07-16 17:09:40","H001238001","25.57","163","117","1","0"
"399836","2021-07-16 17:09:40","H001238001","25.67","164","117","1","0"
"399834","2021-07-16 17:09:39","H001238001","25.57","164","117","1","0"
"399832","2021-07-16 17:09:38","H001238001","25.67","164","116","0","0"
"399830","2021-07-16 17:09:38","H001238001","25.57","164","117","0","0"
"399828","2021-07-16 17:09:37","H001238001","25.67","163","118","0","0"
"399826","2021-07-16 17:09:37","H001238001","25.57","164","117","0","0"
